================================================================================
ЛОГ ЗАГРУЗКИ КОНКУРСОВ
Дата: 29.04.2026 10:49:52
Файл: конкурсы минпросвещения (1).xlsx
Режим: add
================================================================================

Создано: 606
Обновлено: 0
Пропущено: 0
Ошибок: 0

ДЕТАЛИ:
--------------------------------------------------------------------------------
Строка 2: CREATE | 1.1. Всероссийская олимпиада школьников (заключительный этап)
Строка 1076: CREATE | 6.657. Соревнования "Бои роботов"
Строка 1078: CREATE | 6.658. Соревновательные мероприятия в сфере проектирования, создания, эксплуатации и обслуживания БАС
Строка 1080: CREATE | 6.67. XI Всероссийский конкурс театрального искусства "Сыны и Дочери Отечества"
Строка 1082: CREATE | 6.674. Турнир технологических сборных "Т2С"
Строка 1084: CREATE | 6.675. Турнир школьников Открытого Чемпионата Юга России - Олимпиады Южного федерального университета по программированию "ContestSFedU"
Строка 1086: CREATE | 6.676. Турнир юных математиков "ТЮМ_72" среди команд обучающихся 4-7 классов
Строка 1088: CREATE | 6.68. XI Всероссийский патриотический конкурс "Сыны и Дочери Отечества"
Строка 1090: CREATE | 6.69. XI Всероссийском фестивале научно-популярного фильма "ТехноФест"
Строка 1092: CREATE | 6.691. XX Всероссийский открытый фестиваль-форум детского и юношеского экранного творчества "Бумеранг"
Строка 1094: CREATE | 6.692. Цикл Всероссийских олимпиад по страноведению "Patriae Studiis"
Строка 1096: CREATE | 6.693. Чемпионат "CASE - ЮГЕО" по решению геологических кейсов среди учащихся общеобразовательных школ
Строка 1098: CREATE | 6.694. Чемпионат исследовательских и проектных работ "Проектирую будущее"
Строка 1100: CREATE | 6.695. Чемпионат робототехники и инноваций "ИнноТехОмск"
Строка 1102: CREATE | 6.696. Чемпионат школьников "Анатомия-360"
Строка 1104: CREATE | 6.697. Чемпионат ЮниорМастерс. Креатив
Строка 1106: CREATE | 6.698. Четвертая Российская психолого-педагогическая олимпиада школьников имени О.С. Гребенюка
Строка 1108: CREATE | 6.699. Шестой Всероссийский конкурс "Глазуновский диктант"
Строка 1110: CREATE | 6.7. I Международный конкурс научно-исследовательских докладов по музыковедению среди студентов средних и высших образовательных учреждений, магистрантов в рамках XXI Международной студенческой научно-практической конференции "Свиридовские чтения", посвящённой 110-летию со дня рождения Г.В. Свиридова
Строка 1112: CREATE | 6.700. "Школа юных инноваторов"
Строка 1114: CREATE | 6.703. Юниорская олимпиада по защите информации Ugra CTF 2026
Строка 1116: CREATE | 6.704. V Всероссийская Байкальская научно-практическая конференция школьников с международным участием "Открывая горизонты"
Строка 1118: CREATE | 6.705. VIII Всероссийский конкурс исполнителей на классической гитаре
Строка 1120: CREATE | 6.706. XIX Международный фестиваль-конкурс "Южноуральск-Зальцбург"
Строка 1122: CREATE | 6.707. XV Всероссийский фестиваль-конкурс хореографического искусства "Танцетворение"
Строка 1124: CREATE | 6.708. Байкальский межрегиональный математический турнир
Строка 1126: CREATE | 6.709. Всероссийская олимпиада школьников имени Льва Дедешко
Строка 1128: CREATE | 6.71. XI Международная олимпиада школьников "Кавказская математическая олимпиада"
Строка 1130: CREATE | 6.710. Всероссийский детский конкурс научно-исследовательских и творческих работ "Первые шаги в науке"
Строка 1132: CREATE | 6.711. Всероссийский конкурс достижений талантливой молодежи "Национальное достояние России"
Строка 1134: CREATE | 6.712. Всероссийский конкурс молодежи образовательных и научных организаций на лучшую работу "Моя
законотворческая
инициатива"
Строка 1136: CREATE | 6.713. Всероссийский конкурс на лучшую научную работу студентов и школьников по гуманитарным наукам "Веление времени"
Строка 1138: CREATE | 6.714. Всероссийский конкурс научно-исследовательских и творческих работ молодёжи "Меня оценят в XXI веке"
Строка 1140: CREATE | 6.715. Всероссийский конкурс научно-исследовательских, изобретательских и творческих работ обучающихся "Наука, творчество, духовность"
Строка 1142: CREATE | 6.716. Всероссийский конкурс научно-исследовательских, проектных и творческих работ обучающихся "Обретённое поколение"
Строка 1144: CREATE | 6.717. Всероссийский межнациональный фестиваль художественного творчества "Златоглавая Россия, многоликая страна - 2025"
Строка 1146: CREATE | 6.718. Всероссийский молодежный конкурс по проблемам культурного наследия, экологии и безопасности жизнедеятельности "ЮНЭКО"
Строка 1148: CREATE | 6.719. Всероссийский Тимирязевский конкурс научно-исследовательских, опытно-конструкторских, технологических и социальных проектов молодежи в сфере агропромышленного комплекса "АПК - молодежь, наука, инновации"
Строка 1150: CREATE | 6.720. Межрегиональный конкурс проектных и исследовательских работ обучающихся "Открытие"
Строка 1152: CREATE | 6.721. Межрегиональный конкурс проектов в области цифровых технологий "IT-Jump"
Строка 1154: CREATE | 6.722. Национальная Премия "Одаренные дети России"
Строка 1156: CREATE | 6.723. Ракетостроительный чемпионат "Реактивное движение"
Строка 1158: CREATE | 6.724. IX Межрегиональная предметная олимпиада по профессиональному модулю ПМ.01 Оптовая и розничная торговля лекарственными средствами и отпуск лекарственных препаратов для медицинского и ветеринарного применения (для обучающихся по УГС 33.00.00 Фармация)
Строка 1160: CREATE | 6.725. Региональная научно-практическая конференция "Одаренные дети - будущее России"
Строка 1162: CREATE | 6.726. IV Международная молодежная научно-образовательная конференция "Химия 21 века в школе" им. В.И. Галкина
Строка 1164: CREATE | 6.729. Московский Международный фестиваль патриотической песни и музыкального произведения детского и молодежного творчества "Молодые таланты Отечества"
Строка 1166: CREATE | 6.74. XII Всероссийский конкурс детских новогодних рисунков "И СНОВА В СКАЗКУ!"
Строка 1168: CREATE | 6.75. XII Всероссийский с международным участием конкурс-фестиваль "Свирель - инструмент мира, здоровья и радости"
Строка 1170: CREATE | 6.76. XII Международная научно-практическая конференция школьников "Политех - 2026"
Строка 1172: CREATE | 6.77. XII Международный конкурс детского рисунка "Через искусство - к жизни"
Строка 1174: CREATE | 6.78. XII Международный студенческий конкурс исполнителей на народных инструментах ВУЗов СНГ
Строка 1176: CREATE | 6.79. XIII Всероссийская научно-инновационная конференция школьников "Открой в себе ученого"
Строка 1178: CREATE | 6.8. I Международный открытый детский балетный конкурс "Белый лебедь"
Строка 1180: CREATE | 6.80. XIII Международная независимая литературная премия "Глаголица"
Строка 1182: CREATE | 6.81. XIII Международный конкурс юных пианистов "Ступень к мастерству"
Строка 1184: CREATE | 6.82. XIII Межрегиональная конференция - фестиваль "Научно-практическая деятельность как средство становления профессиональной компетентности обучающегося системы профессионального образования"
Строка 1186: CREATE | 6.83. XIII Научный конкурс исследовательских проектов обучающихся "Развитие инженерной мысли: от прошлого в будущее"
Строка 1188: CREATE | 6.84. XIII Региональная конференция-конкурс индивидуальных исследовательских проектов школьников "Молодежные новации строительному комплексу Нижегородской области"
Строка 1190: CREATE | 6.85. XIV Всероссийский конкурс исполнителей на музыкальных инструментах фольклорной традиции "Заиграй повеселее"
Строка 1192: CREATE | 6.86. XIV Международный конкурс-смотр учащихся старших курсов дирижерско-хоровых отделений профессиональных образовательных учреждений
Строка 1194: CREATE | 6.87. XIX Всероссийский фестиваль детских и юношеских театров кукол "Букет марионеток"
Строка 1196: CREATE | 6.88. XIX международная олимпиада по математике "Систематика"
Строка 1198: CREATE | 6.89. XIX международный детско-юношеский музыкальный конкурс "Теремок"
Строка 1200: CREATE | 6.9. I региональная полипредметная олимпиада школьников им. A.M. Красникова
Строка 1202: CREATE | 6.91. XIX Форум молодых исследователей "Шаг в будущую профессию", посвященный 100-летию выдающегося государственного, политического и общественного деятеля Якутии Гавриила Иосифовича Чиряева
Строка 1204: CREATE | 6.94. XV международный джазовый инструментальный фестиваль-конкурс молодых исполнителей "ГНЕСИН-ДЖАЗ-ИНСТР-2025"
Строка 1206: CREATE | 6.95. XV межрегиональный конкурс научных работ "Формирование молодежной научно-интеллектуальной элиты России"
Строка 1208: CREATE | 6.97. XV Российская компетентностная олимпиада
Строка 1210: CREATE | 6.98. XVI Международная олимпиада-конкурс научных работ учащихся школ, гимназий, лицеев и колледжей "Химия: наука и искусство" имени В.Я. Курбатова
Строка 1212: CREATE | 6.99. XVI Международный конкурс проектных и творческих работ "Школа диалога культур "МОСТ"
--------------------------------------------------------------------------------
